iter	Passed	Remaining
0	172	172647
1	175	87686
2	178	59344
3	182	45388
4	185	36933
5	188	31250
6	191	27176
7	194	24155
8	198	21882
9	201	19997
10	204	18413
11	207	17116
12	210	15984
13	211	14922
14	213	13999
15	214	13184
16	215	12466
17	216	11819
18	217	11244
19	218	10723
20	220	10257
21	221	9833
22	222	9446
23	223	9093
24	224	8766
25	226	8481
26	228	8225
27	229	7964
28	230	7721
29	231	7494
30	232	7280
31	234	7079
32	235	6892
33	236	6712
34	237	6544
35	238	6384
36	239	6231
37	240	6088
38	241	5958
39	243	5839
40	244	5715
41	245	5596
42	246	5482
43	247	5372
44	248	5278
45	249	5182
46	250	5085
47	251	4994
48	252	4906
49	253	4821
50	254	4740
51	255	4662
52	256	4587
53	257	4514
54	258	4443
55	259	4376
56	260	4310
57	261	4248
58	262	4193
59	264	4141
60	265	4085
61	266	4029
62	267	3976
63	268	3924
64	269	3875
65	270	3828
66	271	3780
67	272	3733
68	273	3688
69	274	3645
70	275	3602
71	276	3561
72	277	3521
73	279	3497
74	280	3460
75	281	3422
76	282	3385
77	283	3349
78	284	3315
79	285	3281
80	286	3249
81	287	3217
82	287	3181
83	288	3150
84	289	3120
85	290	3091
86	291	3062
87	292	3034
88	294	3009
89	295	2986
90	296	2960
91	297	2934
92	298	2910
93	299	2885
94	300	2860
95	301	2836
96	302	2813
97	303	2790
98	304	2768
99	305	2746
100	306	2724
101	307	2704
102	308	2686
103	309	2669
104	310	2650
105	311	2630
106	312	2610
107	313	2591
108	314	2572
109	315	2554
110	316	2536
111	317	2518
112	318	2501
113	319	2483
114	320	2469
115	322	2457
116	323	2444
117	325	2434
118	326	2418
119	327	2402
120	328	2387
121	329	2371
122	330	2356
123	331	2341
124	332	2326
125	333	2312
126	334	2297
127	335	2283
128	336	2270
129	337	2256
130	338	2243
131	340	2237
132	341	2225
133	342	2212
134	343	2199
135	344	2187
136	345	2174
137	346	2162
138	347	2150
139	348	2138
140	349	2128
141	350	2114
142	350	2103
143	351	2092
144	352	2080
145	354	2071
146	355	2062
147	356	2052
148	357	2041
149	358	2031
150	359	2020
151	360	2010
152	361	2001
153	362	1991
154	363	1982
155	364	1972
156	365	1962
157	366	1952
158	367	1943
159	368	1933
160	369	1924
161	370	1917
162	371	1908
163	372	1900
164	373	1891
165	374	1881
166	375	1873
167	376	1865
168	377	1857
169	378	1848
170	379	1840
171	380	1832
172	381	1824
173	382	1816
174	383	1808
175	384	1801
176	386	1796
177	387	1788
178	388	1780
179	389	1773
180	390	1765
181	391	1757
182	392	1750
183	393	1743
184	394	1735
185	394	1728
186	395	1721
187	396	1714
188	397	1707
189	398	1700
190	400	1697
191	401	1691
192	402	1684
193	403	1677
194	404	1670
195	405	1664
196	406	1657
197	407	1651
198	408	1644
199	409	1638
200	410	1631
201	411	1625
202	412	1619
203	413	1613
204	414	1607
205	415	1603
206	416	1597
207	417	1591
208	418	1585
209	419	1579
210	420	1573
211	421	1567
212	422	1562
213	423	1556
214	424	1551
215	425	1546
216	426	1540
217	427	1535
218	428	1529
219	430	1524
220	431	1520
221	432	1515
222	433	1510
223	434	1505
224	435	1499
225	436	1494
226	437	1489
227	438	1484
228	439	1479
229	440	1474
230	441	1469
231	442	1464
232	443	1459
233	444	1454
234	445	1450
235	446	1447
236	448	1442
237	449	1437
238	449	1432
239	450	1428
240	452	1423
241	453	1419
242	454	1414
243	455	1409
244	456	1405
245	456	1400
246	457	1396
247	458	1391
248	459	1386
249	461	1384
250	462	1381
251	463	1377
252	464	1372
253	465	1368
254	466	1363
255	467	1359
256	468	1355
257	469	1350
258	470	1346
259	471	1342
260	472	1338
261	473	1334
262	474	1330
263	475	1326
264	477	1323
265	478	1319
266	479	1315
267	480	1311
268	481	1307
269	482	1305
270	483	1301
271	484	1297
272	485	1293
273	486	1289
274	487	1285
275	488	1281
276	489	1277
277	490	1274
278	491	1270
279	492	1266
280	493	1262
281	494	1259
282	495	1255
283	497	1254
284	498	1251
285	499	1247
286	500	1244
287	501	1240
288	502	1237
289	503	1233
290	504	1229
291	505	1226
292	506	1222
293	507	1219
294	508	1215
295	509	1212
296	510	1209
297	512	1206
298	513	1204
299	514	1201
300	515	1197
301	516	1194
302	517	1190
303	518	1187
304	519	1183
305	520	1180
306	521	1177
307	522	1173
308	523	1170
309	524	1167
310	525	1164
311	526	1161
312	527	1158
313	529	1156
314	530	1153
315	531	1149
316	532	1146
317	533	1143
318	534	1140
319	535	1137
320	536	1133
321	537	1131
322	538	1129
323	539	1126
324	540	1123
325	541	1119
326	542	1117
327	543	1114
328	544	1111
329	545	1108
330	546	1105
331	547	1102
332	548	1099
333	549	1096
334	550	1093
335	551	1090
336	553	1087
337	554	1085
338	555	1082
339	556	1079
340	557	1076
341	558	1073
342	559	1070
343	560	1068
344	561	1065
345	562	1062
346	563	1059
347	563	1056
348	564	1053
349	565	1050
350	566	1047
351	568	1047
352	569	1044
353	570	1041
354	571	1038
355	572	1036
356	573	1033
357	574	1030
358	575	1028
359	576	1025
360	577	1022
361	578	1019
362	579	1017
363	580	1014
364	581	1011
365	583	1009
366	584	1007
367	585	1005
368	586	1002
369	587	999
370	588	997
371	589	994
372	590	991
373	591	989
374	592	987
375	593	985
376	594	982
377	595	980
378	596	977
379	597	975
380	599	973
381	600	971
382	602	970
383	603	967
384	604	965
385	608	968
386	609	966
387	611	963
388	612	961
389	613	959
390	615	957
391	616	955
392	616	952
393	617	950
394	618	947
395	619	945
396	621	943
397	622	940
398	623	938
399	624	936
400	625	934
401	626	931
402	627	929
403	628	927
404	630	926
405	631	924
406	632	921
407	633	919
408	634	916
409	635	914
410	636	912
411	637	909
412	638	907
413	639	905
414	640	902
415	641	900
416	642	898
417	643	896
418	644	894
419	645	891
420	646	889
421	647	887
422	649	885
423	650	883
424	651	881
425	652	878
426	653	876
427	654	874
428	655	871
429	656	869
430	657	868
431	659	866
432	660	864
433	661	862
434	662	860
435	663	858
436	664	856
437	665	854
438	666	852
439	667	849
440	668	847
441	669	845
442	670	843
443	671	841
444	672	839
445	674	837
446	676	836
447	677	834
448	678	832
449	679	830
450	680	828
451	681	826
452	682	823
453	683	821
454	684	819
455	685	817
456	686	815
457	687	813
458	688	811
459	689	809
460	691	808
461	692	806
462	693	804
463	694	802
464	695	800
465	696	798
466	697	795
467	698	793
468	699	791
469	700	789
470	701	787
471	702	785
472	703	783
473	704	781
474	706	780
475	707	778
476	707	776
477	708	774
478	709	772
479	710	770
480	711	768
481	712	766
482	713	764
483	714	762
484	715	760
485	716	758
486	717	756
487	718	754
488	719	752
489	721	751
490	722	749
491	723	747
492	724	745
493	725	743
494	726	741
495	727	739
496	728	737
497	729	735
498	730	733
499	731	731
500	732	729
501	733	727
502	734	725
503	735	723
504	736	722
505	737	720
506	738	718
507	739	716
508	740	714
509	741	712
510	742	710
511	743	708
512	744	706
513	745	704
514	746	703
515	747	701
516	748	699
517	749	697
518	751	696
519	752	694
520	753	693
521	754	691
522	755	689
523	756	687
524	757	685
525	759	683
526	760	682
527	761	680
528	762	678
529	762	676
530	764	674
531	765	673
532	766	671
533	767	669
534	768	667
535	769	666
536	770	664
537	771	662
538	772	660
539	773	658
540	774	656
541	775	655
542	777	654
543	778	652
544	779	650
545	780	648
546	781	646
547	782	645
548	783	643
549	784	641
550	785	639
551	786	638
552	787	636
553	788	634
554	789	632
555	790	630
556	792	630
557	793	628
558	794	626
559	795	624
560	796	623
561	797	621
562	798	619
563	799	617
564	800	616
565	801	614
566	802	612
567	803	610
568	804	609
569	805	607
570	807	606
571	808	604
572	809	603
573	810	601
574	811	599
575	812	598
576	813	596
577	814	594
578	815	592
579	816	591
580	817	589
581	818	587
582	819	586
583	820	584
584	822	583
585	823	581
586	824	580
587	825	578
588	827	577
589	828	575
590	829	573
591	830	572
592	831	570
593	832	569
594	833	567
595	835	566
596	836	564
597	837	562
598	838	561
599	839	559
600	841	558
601	842	556
602	843	555
603	844	553
604	845	552
605	846	550
606	847	548
607	848	547
608	849	545
609	851	544
610	853	543
611	854	541
612	855	540
613	856	538
614	857	536
615	858	535
616	860	533
617	861	532
618	862	530
619	863	529
620	864	527
621	865	525
622	866	524
623	867	522
624	868	521
625	869	519
626	870	518
627	871	516
628	872	514
629	873	513
630	874	511
631	875	509
632	876	508
633	877	506
634	878	504
635	879	503
636	880	501
637	881	500
638	882	498
639	884	497
640	885	495
641	885	494
642	887	492
643	887	490
644	889	489
645	889	487
646	890	486
647	891	484
648	892	482
649	893	481
650	894	479
651	895	478
652	896	476
653	898	475
654	899	473
655	900	472
656	901	470
657	902	469
658	903	467
659	904	465
660	905	464
661	906	462
662	907	461
663	908	459
664	909	458
665	910	456
666	911	454
667	912	453
668	914	452
669	915	450
670	916	449
671	917	447
672	918	446
673	919	444
674	920	443
675	921	441
676	922	439
677	923	438
678	924	436
679	925	435
680	926	433
681	927	432
682	928	430
683	929	429
684	930	428
685	931	426
686	932	425
687	933	423
688	934	421
689	935	420
690	936	418
691	937	417
692	938	415
693	939	414
694	940	412
695	942	411
696	943	410
697	944	408
698	945	407
699	946	405
700	947	404
701	948	402
702	949	401
703	950	399
704	951	398
705	952	396
706	953	395
707	954	393
708	955	392
709	956	390
710	957	389
711	958	387
712	960	386
713	961	384
714	961	383
715	962	381
716	963	380
717	964	378
718	965	377
719	966	375
720	968	374
721	969	373
722	970	372
723	972	370
724	973	369
725	975	368
726	976	366
727	977	365
728	978	363
729	979	362
730	980	360
731	981	359
732	982	357
733	983	356
734	984	354
735	985	353
736	986	351
737	987	350
738	988	348
739	989	347
740	990	346
741	991	344
742	992	343
743	993	341
744	994	340
745	995	339
746	996	337
747	997	336
748	998	334
749	999	333
750	1000	331
751	1001	330
752	1002	328
753	1004	327
754	1005	326
755	1006	324
756	1007	323
757	1008	321
758	1009	320
759	1010	319
760	1011	317
761	1012	316
762	1013	314
763	1014	313
764	1015	312
765	1017	310
766	1018	309
767	1020	308
768	1027	308
769	1028	307
770	1030	305
771	1031	304
772	1032	303
773	1033	301
774	1034	300
775	1036	299
776	1037	297
777	1038	296
778	1039	295
779	1040	293
780	1041	292
781	1042	290
782	1043	289
783	1044	287
784	1045	286
785	1046	285
786	1047	283
787	1048	282
788	1050	280
789	1051	279
790	1052	278
791	1053	276
792	1054	275
793	1055	273
794	1056	272
795	1057	271
796	1058	269
797	1059	268
798	1060	266
799	1061	265
800	1062	264
801	1063	262
802	1064	261
803	1066	260
804	1067	258
805	1068	257
806	1069	255
807	1070	254
808	1071	253
809	1072	251
810	1073	250
811	1074	248
812	1075	247
813	1076	246
814	1077	244
815	1078	243
816	1079	241
817	1081	240
818	1082	239
819	1083	237
820	1084	236
821	1085	235
822	1086	233
823	1088	232
824	1089	231
825	1090	229
826	1091	228
827	1092	226
828	1093	225
829	1094	224
830	1095	222
831	1097	221
832	1098	220
833	1099	218
834	1100	217
835	1101	216
836	1102	214
837	1103	213
838	1104	212
839	1105	210
840	1106	209
841	1107	207
842	1109	206
843	1110	205
844	1111	203
845	1113	202
846	1114	201
847	1115	199
848	1116	198
849	1117	197
850	1118	195
851	1119	194
852	1120	193
853	1121	191
854	1122	190
855	1123	188
856	1124	187
857	1125	186
858	1127	185
859	1128	183
860	1129	182
861	1130	180
862	1131	179
863	1132	178
864	1133	176
865	1134	175
866	1135	174
867	1136	172
868	1137	171
869	1138	170
870	1139	168
871	1140	167
872	1142	166
873	1143	164
874	1144	163
875	1145	162
876	1146	160
877	1147	159
878	1148	158
879	1149	156
880	1150	155
881	1151	154
882	1152	152
883	1153	151
884	1154	149
885	1155	148
886	1156	147
887	1158	146
888	1159	144
889	1160	143
890	1161	142
891	1162	140
892	1163	139
893	1164	138
894	1165	136
895	1166	135
896	1167	134
897	1168	132
898	1169	131
899	1170	130
900	1171	128
901	1172	127
902	1173	126
903	1174	124
904	1175	123
905	1176	122
906	1177	120
907	1178	119
908	1179	118
909	1180	116
910	1181	115
911	1182	114
912	1183	112
913	1184	111
914	1185	110
915	1186	108
916	1188	107
917	1189	106
918	1190	104
919	1191	103
920	1192	102
921	1193	100
922	1194	99
923	1195	98
924	1195	96
925	1196	95
926	1198	94
927	1199	93
928	1199	91
929	1200	90
930	1202	89
931	1203	87
932	1204	86
933	1205	85
934	1206	83
935	1207	82
936	1208	81
937	1209	79
938	1210	78
939	1211	77
940	1212	76
941	1213	74
942	1214	73
943	1215	72
944	1216	70
945	1218	69
946	1219	68
947	1220	66
948	1221	65
949	1222	64
950	1223	63
951	1224	61
952	1225	60
953	1226	59
954	1227	57
955	1228	56
956	1229	55
957	1230	53
958	1231	52
959	1232	51
960	1234	50
961	1235	48
962	1236	47
963	1237	46
964	1238	44
965	1238	43
966	1239	42
967	1241	41
968	1242	39
969	1243	38
970	1244	37
971	1245	35
972	1246	34
973	1247	33
974	1248	32
975	1249	30
976	1250	29
977	1251	28
978	1252	26
979	1253	25
980	1254	24
981	1255	23
982	1256	21
983	1257	20
984	1258	19
985	1259	17
986	1260	16
987	1261	15
988	1262	14
989	1264	12
990	1265	11
991	1266	10
992	1267	8
993	1268	7
994	1269	6
995	1270	5
996	1271	3
997	1272	2
998	1273	1
999	1274	0
